naviga: Surf
speranze: la speranza
Wrings: strizzare
danni: danni
lega: bind
falcia: falciare
prospera: prosperare
morsi: morso
paga: pagare
ruba: rubano
conta: conta
vale: tenere
Misure: misura
record: record di
Venti: vento
Velocità: Velocità
piani: Piano
esperienze: l'esperienza
giura: giuro
cesoie: shear
voti: voto
si deposita: accontentarsi
sconvolge: sconvolto
chiude: chiudi
fuoriuscite: spill
pubblica: pubblicare
completa: completa
passeggiate: passeggiata
Test: Test
getta: cast
nega: negare
tagli: Taglio
seghe: sega
cuce: cucire
macina: grind
posti letto: il sonno
porta: porta
link: Link
aiuta: aiutare
riesce: successo
cancella: chiaro
pensa: pensare
brilla: shine
sudorazione: il sudore
preoccupazioni: preoccupazione
canta: canta
segue: seguire
scompare: scompare
tende: tende
marchi: mark
rimane: restano
trova: trovare
scommesse: scommessa
riflette: riflettere
contiene: contiene
escursioni: escursione
tira: tirare
studi: lo studio
avverte: warn
allaccia: fissare
guarda: cerca
risultati: risultato
si sveglia: scia
set: set
scrive: scrivere
ama: l'amore
riferisce: riguardano
unisce: unire
ottiene: realizzare
estende: estendere
vestiti: copra
significa: medio
richiede: require
presenta: presente
batte: battere
copie: copia
congela: freeze
gode: godere
piace: Come
vita: dal vivo
cause: causa
handwrites: scrivere a mano
diventa: diventare
include: include
invia: invia
sceglie: scegli
permette di: consentire
scrofe: scrofa
unità: unità
è essere
scottature solari: Solarizzazione
dà: dare
ottiene: ottenere
abbandona: abbandonare
compra: compra
lacrime: tear
nasconde: nascondere
pulisce: pulito
rotazioni: rotazione
predice: predire
riconosce: riconoscere
spinte: spinta
orsi: Orso
rimuove: rimuovere
lascia: lasciare
modifiche: il cambiamento
feeds: alimentazione
previsioni: previsioni
controlli: controllo
passaggi: passaggio
scaglia: Fling
verifica: verifica
si intrufola: furtivo
riceve: ricevere
punti: il punto
forniture: alimentazione
sbarazza: rid
danze: la danza
teste: testa
si sveglia: sveglia
chiamate: chiamata
realizza: realizzare
si inginocchia: inginocchiarsi
si legge: leggere
subisce: subiscono
viaggi: viaggi
Strisce: striscia
abita: abitare
indica: indicare
possiede: proprio
prevede: Foresee
atti: atto
trova: lie
fallisce: sicuro
avvisi: Avviso
afferma: Stato
rivela: rivelare
mangia: mangiare
conduce: piombo
si aggrappa: si aggrappano
novelli: Mer
abiti: abito
abiti: tuta
uccide: uccidere
sorge: alba
accetta: accetta
riduce: ridurre
catture: catch
costruisce: costruire
tesse: tessuto
curve: bend
parla: parla
funziona: il lavoro
combattimenti: lotta
siede: sit
cadute: caduta
bastoni: bastone
produce: produrre
soggiorni: Soggiorno
piste: run
accade: accadere
invita: invitare
colpisce: influenzare
facce: face
sogni: sogno
solleva: aumentare
lavandini: sink
ritira: ritirare
incantesimi: incantesimo
cerca: chiedere
contatti: contatto
dimora: rispettare
prende: prendere
perde: perdere
si impegna: intraprendere
divide: split
suppone: supponiamo
vede: vedi
molle molle
suggerisce: suggeriscono
amplifica: overdraw
relazioni: rapporto
oneri: carica
dice: raccontare
osa: osare
posti: posto
spiega: spiegare
quote: la quota
inganna: mislead
consente: attivare
salva: salva
scoppia: raffica
slinks: Slink
insegna: insegnare
tipi: tipo
identifica: identificare
grida: cry
diapositive: slide
sostiene: sostengono
gradini: battistrada
puzza: puzza
stringhe: stringa
ascolta: ascolta
sopravvive: sopravvivere
trattiene: trattenere
appare: appare
concorda: d'accordo
soothsays: soothsay
disegna: disegnare
suoni: suoni
preset: preset
conti: conto
dispone: fornire
spazza: spazzata
si sforza: si sforzano
protegge: proteggere
salite: salita
si chiede: chiedo
restringe: shrink
gocce: goccia
ammette: ammettere
serve: servire
Maniglie: maniglia
si applica: applicare
basi: base
si sente: feel
arriva: arrivare
lascia: lasciare
rotoli: rotolo
comprende: capire
ricorda: ricordare
rifiuta: rifiutare
irrita: Vex
considera: prendere in considerazione
si appoggia: magra
piange: piangete
desideri: desiderare
urti: detonazione
divide: dividere
questioni: la materia
imbracature: sling
sanguina: bleed
lattine: CAN
Ingressi: Ingresso
Teloni:
risponde: rispondere
Fitch: si
le trasmissioni di radiodiffusione:
vittorie: vittoria
vede: ecco
cresce: crescono
punture: pungere
appende: appendere
costi: costo
menti: mente
sembra: sembra
presse: premere
separa: separata
crede: crede
orologi: orologio
esegue: eseguire
evita: evitare
riposa: resto
se ne frega: la cura
ascolta: origliare
rappresenta: rappresentano
shakes shake
corregge: corretto
odia: odio
decide: decide
muore: die
gonfia: swell
risposte: risposta
nuotate: swim
aggiunge: aggiungi
ripete: repeat
preoccupazioni riguardano:
spinge: spinta
si posa: scendere
mette: Put
spara: spara
pesci: pesci
anelli: Anello
ritorni: il ritorno
pattini: pattino
va: andare
saluti: per quanto riguarda
getta: tiro
offerte: Offerta
intende: l'intenzione
arriva: vieni
vuole: want
sa: Know
bottino: rovinano
esprime: esprimere
incoraggia: incoraggiare
maglia: maglia
richieste: domanda
pause: pausa
prepara: la preparazione
applausi: clap
si trasforma: turno
miss: Miss
Controlli: Controllo
gite: giro
disegni: disegno
aumenta: aumento
chiude: CHIUDERE
bagna: umido
forme: la forma
fa male: ferire
caccia: caccia
apre: aperto
riferisce: consultare
offerte: affare
impara: imparare
sviluppa: sviluppare
resiste: resistere
usa: l'uso
subaffitti: subaffitto
calci: calcio
